曲名,アーティスト,権利識別コード,配信許諾ステータス,リリース日,季節タグ,情報源(API/DB),一次ソースURL,権利確認日,推奨有効期限,総再生数,高評価数,コメント数,エンゲージメント率(%),日速再生数(回/日),DB登録日
Snow Man - グッタイム / THE FIRST TAKE,THE FIRST TAKE,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-24,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,5744629,171545,14055,3.23,718078,2026-08-02
Mrs. GREEN APPLE「Brand New」,Mrs. GREEN APPLE,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-31,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,1593114,86593,5957,5.81,1593114,2026-08-02
"ACEesArena Tour 2026 ""V"" より",ジュニアCHANNEL,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-25,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,2302108,33708,83300,5.08,328872,2026-08-02
"BE:FIRST / BRUCE WAYNE feat. Flo Milli, ATL Jacob --",BE:FIRST,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-31,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,1905242,57085,3987,3.21,952621,2026-08-02
GO GHOST,King Gnu - Topic,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-28,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,1077248,28332,1106,2.73,269312,2026-08-02
島のうた,Release - Topic,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-24,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,1214511,20595,0,1.7,151813,2026-08-02
M!LK - You!Joy!Parade!（Dance Practice Movie）,M!LK,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-24,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,1579154,65897,6264,4.57,197394,2026-08-02
モエチャッカファイア／ - ヒューゴ、狛野真斗、ライト、セヴェリアン,HoYoFair,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-25,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,2163755,86271,3190,4.13,309107,2026-08-02
ILLIT  'I Got Your Back ',HYBE LABELS,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-26,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,6412765,388272,28983,6.51,1068794,2026-08-02
うさぎラップ,Release - Topic,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-24,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,785077,15433,0,1.97,98134,2026-08-02
机さする,Haruka Aoki - Topic,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-24,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,711480,13299,0,1.87,88935,2026-08-02
好き,星野源 Gen Hoshino - Topic,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-28,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,401066,14076,0,3.51,100266,2026-08-02
くつずれ,Release - Topic,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-24,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,752418,10712,0,1.42,94052,2026-08-02
T.M.Revolution - HOT LIMIT / THE FIRST TAKE,THE FIRST TAKE,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-10,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,22212501,720560,46180,3.45,1009659,2026-08-02
aespa エスパ 'KISS N TELL',SMTOWN,JASRAC/NexTone包括対象,OK (YouTube包括契約内),2026-07-23,2026年夏,YouTube Comprehensive Engine,https://www.youtube.com/t/terms,2026-08-02,2026-10-31,5144239,370772,15496,7.51,571582,2026-08-02
